epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,502.076,1.59102,1.3352,1.45472,0.87645,0.84544,0.90996,0.44327,1.71145,0.94409,1.53566,0.008614,0.008614,0.008614
9,587.759,1.56941,1.27957,1.43766,0.90205,0.8888,0.93917,0.47574,1.70292,0.83867,1.52417,0.008416,0.008416,0.008416
10,691.282,1.55246,1.23933,1.42891,0.89792,0.88728,0.92884,0.47287,1.70331,0.85493,1.52121,0.008218,0.008218,0.008218
11,797.606,1.5491,1.20888,1.42731,0.91473,0.88727,0.93962,0.4722,1.70486,0.827,1.51917,0.00802,0.00802,0.00802
12,901.252,1.53814,1.18591,1.4164,0.92831,0.89336,0.94432,0.49017,1.69466,0.80352,1.50409,0.007822,0.007822,0.007822
13,1002.68,1.52722,1.15787,1.40555,0.91529,0.89847,0.94579,0.48964,1.70774,0.79331,1.5027,0.007624,0.007624,0.007624
14,1108.99,1.52166,1.14422,1.40638,0.92426,0.91361,0.95099,0.4959,1.68892,0.76629,1.5105,0.007426,0.007426,0.007426
15,1213.15,1.51234,1.12087,1.39445,0.9312,0.90247,0.95611,0.50168,1.67976,0.75385,1.48934,0.007228,0.007228,0.007228
16,1319.31,1.50011,1.10177,1.39283,0.92562,0.92403,0.95787,0.50412,1.66492,0.74469,1.47627,0.00703,0.00703,0.00703
17,1426.68,1.49691,1.08749,1.38502,0.93634,0.9194,0.95773,0.50546,1.6823,0.72659,1.49735,0.006832,0.006832,0.006832
18,1530.76,1.49431,1.06681,1.38678,0.95176,0.9248,0.96751,0.5076,1.68427,0.70191,1.49251,0.006634,0.006634,0.006634
19,1637.44,1.49204,1.05334,1.38344,0.94504,0.9306,0.96781,0.51076,1.67883,0.69333,1.48471,0.006436,0.006436,0.006436
20,1743.79,1.48145,1.03735,1.37457,0.94064,0.92765,0.9638,0.51576,1.67951,0.70364,1.47943,0.006238,0.006238,0.006238
21,1847.71,1.4723,1.02732,1.37341,0.93798,0.93219,0.96573,0.51183,1.67969,0.69495,1.48947,0.00604,0.00604,0.00604
22,1952.89,1.46854,1.01342,1.36919,0.94581,0.93879,0.96996,0.51643,1.67316,0.67548,1.48718,0.005842,0.005842,0.005842
23,2059.66,1.46466,1.00894,1.36554,0.94783,0.9375,0.96676,0.51716,1.67088,0.67121,1.47692,0.005644,0.005644,0.005644
24,2165.63,1.45834,0.99545,1.35999,0.96421,0.94595,0.97487,0.52079,1.67446,0.66172,1.47959,0.005446,0.005446,0.005446
25,2270.37,1.45028,0.98239,1.35617,0.95319,0.94798,0.97399,0.52504,1.65756,0.66483,1.47148,0.005248,0.005248,0.005248
26,2377.41,1.442,0.97214,1.351,0.95883,0.94042,0.97209,0.52591,1.65557,0.66638,1.46618,0.00505,0.00505,0.00505
27,2482.62,1.43292,0.95874,1.34659,0.96088,0.94461,0.97619,0.5273,1.66033,0.63872,1.47055,0.004852,0.004852,0.004852
28,2591.11,1.43064,0.94733,1.34652,0.96202,0.94388,0.97216,0.5292,1.66105,0.64184,1.46878,0.004654,0.004654,0.004654
29,2699.38,1.41943,0.93869,1.33933,0.95924,0.938,0.97336,0.52359,1.65721,0.64778,1.4639,0.004456,0.004456,0.004456
30,2808.32,1.4197,0.93744,1.34263,0.96216,0.94962,0.97557,0.52761,1.66128,0.63278,1.47331,0.004258,0.004258,0.004258
31,2917.54,1.41374,0.92383,1.3348,0.96221,0.94647,0.97487,0.5312,1.66571,0.63102,1.47625,0.00406,0.00406,0.00406
32,3025.5,1.40992,0.91878,1.33411,0.95902,0.95359,0.97431,0.53252,1.65806,0.63111,1.47212,0.003862,0.003862,0.003862
33,3131.21,1.41058,0.90095,1.33472,0.95961,0.9473,0.9763,0.53336,1.65667,0.61423,1.47237,0.003664,0.003664,0.003664
34,3241.81,1.39489,0.89441,1.32414,0.95758,0.94974,0.97757,0.53225,1.66744,0.61914,1.47632,0.003466,0.003466,0.003466
35,3355.71,1.38682,0.88772,1.3234,0.96179,0.95659,0.97715,0.53407,1.66516,0.60607,1.47318,0.003268,0.003268,0.003268
36,3463.05,1.38383,0.8724,1.32265,0.96081,0.95242,0.97424,0.52828,1.66415,0.60688,1.47449,0.00307,0.00307,0.00307
37,3564.49,1.37944,0.86512,1.31504,0.96541,0.95186,0.97722,0.53173,1.66215,0.60407,1.4772,0.002872,0.002872,0.002872
38,3669.19,1.3709,0.86703,1.31039,0.96601,0.95606,0.97737,0.53293,1.66349,0.59634,1.4697,0.002674,0.002674,0.002674
39,3776.32,1.36236,0.84538,1.30467,0.96993,0.95464,0.97885,0.53329,1.66914,0.59019,1.46946,0.002476,0.002476,0.002476
40,3881.71,1.36067,0.83655,1.30192,0.96766,0.96086,0.9777,0.53246,1.67317,0.58673,1.47621,0.002278,0.002278,0.002278
41,3999.51,1.35419,0.58324,1.32155,0.96628,0.95695,0.97808,0.53015,1.67094,0.59239,1.47915,0.00208,0.00208,0.00208
42,4108.47,1.33817,0.56326,1.3107,0.96345,0.96173,0.97785,0.52989,1.67679,0.59406,1.48821,0.001882,0.001882,0.001882
43,4216.33,1.32024,0.55277,1.30498,0.96826,0.95494,0.97701,0.52786,1.68049,0.59588,1.492,0.001684,0.001684,0.001684
44,4323.99,1.31038,0.54132,1.29114,0.96546,0.95859,0.97684,0.52852,1.68459,0.59308,1.48966,0.001486,0.001486,0.001486
45,4432.37,1.29427,0.53003,1.2832,0.96517,0.9591,0.97662,0.52844,1.68332,0.58847,1.48887,0.001288,0.001288,0.001288
46,4541.28,1.28076,0.51962,1.27053,0.96244,0.96252,0.97695,0.52739,1.68775,0.5836,1.48992,0.00109,0.00109,0.00109
47,4650.74,1.26817,0.5129,1.26577,0.96121,0.96604,0.97832,0.5272,1.69354,0.58335,1.49476,0.000892,0.000892,0.000892
48,4751.99,1.25939,0.50317,1.26146,0.96689,0.96087,0.97591,0.52516,1.69989,0.58431,1.5005,0.000694,0.000694,0.000694
49,4851.62,1.24608,0.49359,1.25286,0.96279,0.96177,0.97665,0.5252,1.70195,0.58192,1.5022,0.000496,0.000496,0.000496
50,4959.55,1.23256,0.49187,1.2438,0.96207,0.96273,0.97685,0.52386,1.70334,0.58201,1.50493,0.000298,0.000298,0.000298
