epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.184,1.78864,2.83497,1.62733,0.55306,0.64383,0.58839,0.28104,1.72126,1.65306,1.50155,0.00332629,0.00332629,0.00332629
2,220.512,1.64454,1.89939,1.46311,0.6769,0.67579,0.73097,0.32725,1.77891,1.45724,1.55284,0.00652776,0.00652776,0.00652776
3,318.897,1.66417,1.79228,1.46809,0.66335,0.56288,0.62634,0.2803,1.82837,1.63344,1.57556,0.00959723,0.00959723,0.00959723
4,416.557,1.69453,1.73101,1.49284,0.74175,0.73351,0.76778,0.36575,1.77258,1.30228,1.54456,0.009406,0.009406,0.009406
5,519.091,1.65365,1.54346,1.46808,0.81493,0.79143,0.85661,0.40694,1.76189,1.11143,1.55025,0.009208,0.009208,0.009208
6,620.076,1.6245,1.44524,1.4521,0.84146,0.8255,0.88388,0.43712,1.74322,1.00021,1.49426,0.00901,0.00901,0.00901
7,722.757,1.60137,1.3608,1.43582,0.85164,0.82569,0.89046,0.43682,1.71779,0.96281,1.51645,0.008812,0.008812,0.008812
8,827.376,1.57916,1.28858,1.42869,0.8651,0.85533,0.90638,0.45221,1.71745,0.93803,1.49135,0.008614,0.008614,0.008614
9,929.092,1.57451,1.26962,1.4219,0.90007,0.86234,0.9258,0.4661,1.70267,0.87683,1.48964,0.008416,0.008416,0.008416
10,1033.26,1.56727,1.22912,1.41325,0.8949,0.87725,0.93491,0.47645,1.68858,0.8499,1.48245,0.008218,0.008218,0.008218
11,1136.41,1.54775,1.19721,1.40782,0.89796,0.88786,0.93362,0.47905,1.69121,0.82077,1.47562,0.00802,0.00802,0.00802
12,1238.46,1.54397,1.16365,1.39705,0.92396,0.87783,0.9411,0.47853,1.69428,0.81007,1.47945,0.007822,0.007822,0.007822
13,1339.96,1.53026,1.13808,1.38943,0.92316,0.8996,0.94928,0.47487,1.70803,0.78884,1.47918,0.007624,0.007624,0.007624
